Brand,Operating System,Processor,RAM Type,RAM Size,Disc Type,Disc Size,Price
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
ASUS,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,32990
HP,Windows 10,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,49990
ASUS,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,49990
HP,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
DELL,MAC ,Intel Core i3,DDR4,8 GB,HDD,1 TB,38990
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
Realme,Windows 10,Intel Core i3,DDR4,8 GB,SSD,256 GB,46990
ASUS,Windows 11,AMD Ryzen 7 Quad Core,DDR4,16 GB,SSD,512 GB,44990
HP,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,59990
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
ASUS,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,32990
ASUS,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,52990
Acer,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,29990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
ASUS,Windows 11,Intel Core i5,DDR4,8 GB,HDD,1 TB,47990
ASUS,Windows 11,Intel Core i5,DDR4,8 GB,SSD,512 GB,45990
MSI,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,47990
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
APPLE,MAC ,Apple M1,DDR4,8 GB,SSD,256 GB,88990
HP,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,40990
Lenovo,MAC ,Intel Celeron Dual Core,LPDDR4,4 GB,HDD,256 GB,19490
Lenovo,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,35590
HP,Windows 11,Intel Core i5,DDR4,8 GB,SSD,512 GB,65990
RedmiBook,MAC ,Intel Core i5,DDR4,8 GB,SSD,512 GB,39990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,512 GB,39990
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,196990
Acer,Windows 11,Intel Core i5,DDR4,16 GB,SSD,512 GB,58990
Realme,Windows 10,Intel Core i3,DDR4,8 GB,SSD,256 GB,46990
Lenovo,Windows 11,AMD Ryzen 5 Quad Core,DDR4,8 GB,SSD,512 GB,38705
ASUS,MAC ,AMD Ryzen 7 Octa Core,DDR4,16 GB,SSD,1 TB,85990
Acer,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,256 GB,24990
Acer,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,8 GB,SSD,512 GB,47990
ASUS,Windows 11,AMD Ryzen 7 Octa Core,DDR4,8 GB,SSD,512 GB,73990
Lenovo,Windows 11,Intel Core i5,DDR4,8 GB,SSD,512 GB,53490
Lenovo,Windows 11,AMD Ryzen 3 Dual Core,DDR4,8 GB,SSD,512 GB,35590
ASUS,MAC ,AMD Ryzen 9 Octa Core,DDR4,16 GB,SSD,1 TB,150990
Lenovo,Windows 11,Intel Core i5,DDR4,8 GB,SSD,512 GB,51990
ASUS,Windows 11,Intel Core i5,DDR4,16 GB,SSD,512 GB,66990
Lenovo,Windows 11,Intel Core i3,DDR4,8 GB,SSD,256 GB,36990
ASUS,Windows 11,AMD Ryzen 9 Octa Core,DDR5,16 GB,SSD,1 TB,194990
Acer,Windows 11,AMD Ryzen 5 Hexa Core,DDR4,16 GB,SSD,512 GB,51990
HP,Windows 11,AMD Athlon Dual Core,DDR4,8 GB,SSD,256 GB,25990
